countries,quarter2,MIPRCrisis,GlobalNtP,GlobalNtT,RegionalNtP,RegionalNtT,RegDum,CountryNtP,CountryNtT
ARGENTINA,1995q1,0,4.089830399,0.022542132,4.089830399,0.022542132,AmDum,0.012909039,7.15E-05
ARGENTINA,1995q2,0,4.698461533,0.024985887,4.698461533,0.024985887,AmDum,0.012656861,8.42E-05
ARGENTINA,1995q3,0,4.205328941,0.023106204,4.205328941,0.023106204,AmDum,0.003793869,2.49E-05
ARGENTINA,1995q4,0,3.838644028,0.022020932,3.838644028,0.022020932,AmDum,0.006419368,4.12E-05
ARGENTINA,1996q1,0,4.375494003,0.022670489,4.375494003,0.022670489,AmDum,0,0
ARGENTINA,1996q2,0,3.854794502,0.022627309,3.854794502,0.022627309,AmDum,0.031418134,0.000208156
ARGENTINA,1996q3,0,3.9435184,0.023667291,3.9435184,0.023667291,AmDum,0.002411293,1.55E-05
ARGENTINA,1996q4,0,3.00313592,0.01924653,3.00313592,0.01924653,AmDum,0.014685158,0.000102002
ARGENTINA,1997q1,0,3.453912973,0.02006547,3.453912973,0.02006547,AmDum,0.044341125,0.000316925
ARGENTINA,1997q2,0,3.344718933,0.019998429,3.344718933,0.019998429,AmDum,0.010311892,6.82E-05
ARGENTINA,1997q3,0,2.815053701,0.019751262,2.815053701,0.019751262,AmDum,0.021730689,0.000155852
ARGENTINA,1997q4,0,3.559176207,0.022219449,3.559176207,0.022219449,AmDum,0.028710712,0.00018886
ARGENTINA,1998q1,0,3.128838062,0.020710543,3.128838062,0.020710543,AmDum,0.025075128,0.000169715
ARGENTINA,1998q2,0,3.096049547,0.021420265,3.096049547,0.021420265,AmDum,0.001965644,1.36E-05
ARGENTINA,1998q3,0,3.791309357,0.022349928,3.791309357,0.022349928,AmDum,0.021000694,0.00013385
ARGENTINA,1998q4,0,3.108878851,0.019636337,3.108878851,0.019636337,AmDum,0.00548108,3.62E-05
ARGENTINA,1999q1,0,3.147571087,0.020658994,3.147571087,0.020658994,AmDum,0.002658586,1.83E-05
ARGENTINA,1999q2,0,2.991235018,0.01970252,2.991235018,0.01970252,AmDum,0.005133752,3.62E-05
ARGENTINA,1999q3,0,2.955223799,0.017178254,2.955223799,0.017178254,AmDum,0.030097904,0.000208377
ARGENTINA,1999q4,0,3.111111164,0.019091671,3.111111164,0.019091671,AmDum,0.002014632,1.40E-05
ARGENTINA,2000q1,0,3.608566046,0.020125501,3.608566046,0.020125501,AmDum,0.003491405,2.13E-05
ARGENTINA,2000q2,0,3.409443617,0.019923007,3.409443617,0.019923007,AmDum,0.005558261,3.37E-05
ARGENTINA,2000q3,0,4.003366947,0.021373659,4.003366947,0.021373659,AmDum,0.008390899,4.65E-05
